# 本项目补译的中文释义：词形(|分隔)	读音	释义
十	とお	十，十个
練習	れんしゅう (する)	练习
私	わたくし	我（郑重语）；私事
あ	あ	啊（感叹）
挨拶	あいさつする	打招呼，问候；寒暄
あげる	あげる	给，送
遊び	あそび	玩耍，游戏；娱乐
案内	あんないする	向导，引导；介绍
一杯	いっぱい	一杯；满，充满
以内	いない	以内，之内
うかがう	うかがう	（谦语）请教，打听；拜访
運転	うんてんする	驾驶，开车；运转
運動	うんどうする	运动，锻炼
遠慮	えんりょする	客气，谢绝；顾虑
おいでになる	おいでになる	（敬语）在，来，去
お陰	おかげ	多亏，托福
お金持ち	おかねもち	有钱人，富翁
贈り物	おくりもの	礼物
落る	おちる	掉落，落下
おっしゃる|仰る	おっしゃる	（敬语）说，讲
おつり	おつり	找零，找的钱
音	おと	声音，响声
落す	おとす	使掉落；丢失
踊り	おどり	舞蹈
お見舞い	おみまい	探望，慰问
おる|居る	おる	（谦语）在，有
かまう	かまう	介意，理会；照顾
ガソリンスタンド	がそりんすたんど	加油站
ガラス|硝子	がらす	玻璃
くださる|下さる	くださる	（敬语）给，赐予
計画	けいかくする	计划
経験	けいけんする	经验，经历
けがする	けがする	受伤
けれど|けれども	けれど	但是，可是；虽然
けんかする	けんかする	吵架，打架
工場	こうじょう	工厂
故障	こしょうする	故障，损坏
答	こたえ	回答，答案
この頃	このごろ	近来，这些日子
コンピュータ|コンピューター	こんぴゅーた	电脑，计算机
ご存じ	ごぞんじ	（敬语）知道
ごらんになる	ごらんになる	（敬语）看，观看
下る	さがる	下降，降低；后退
支度	したくする	准备，预备
出席	しゅっせきする	出席
出発	しゅっぱつする	出发
承知	しょうちする	知道；同意，答应
食事	しょくじする	用餐，吃饭
心配	しんぱいする	担心，担忧
準備	じゅんびする	准备
スーパー (マーケット)	すーぱー (まーけっと)	超市
生活	せいかつする	生活
生産	せいさんする	生产
世話	せわする	照顾，照料
是非	ぜひ	务必，一定；是非，对错
相談	そうだんする	商量，商谈
そんな	そんな	那样的，那种的
退院	たいいんする	出院
楽む	たのしむ	享受，以…为乐
チェックする	ちぇっくする	检查，核对
つく|点く	つく	（灯等）点亮；着火
つもり|積もり	つもり	打算，意图
なさる|為さる	なさる	（敬语）做
入院	にゅういんする	住院
入学	にゅうがくする	入学
拝見	はいけんする	（谦语）拜见，看
はず|筈	はず	应该，理应；按理说
パート (タイム)	ぱーと (たいむ)	兼职
びっくりする	びっくりする	吃惊，惊讶
舟	ふね	船
放送	ほうそうする	广播，播放
ほど|程	ほど	程度；左右，大约
翻訳	ほんやく	翻译
負ける	まける	输，败；让步
回る、回す	まわる、まわす	转，旋转
真中	まんなか	正中间
みな|皆	みな	大家，全部
虫	むし	虫子，昆虫
申し上げる	もうしあげる	（谦语）说，讲
もし|若し	もし	如果，假如
役に立つ	やくにたつ	有用，有帮助
痩せる	やせる	瘦，消瘦
止む	やむ	停止，停息
やめる|止める	やめる	停止，作罢；辞去
輸出	ゆしゅつする	出口，输出
輸入	ゆにゅう	进口，输入；引进
用意	ようい	准备，预备
建て	建て	（接尾）…层；…户住宅
いただく	頂く	（谦语）吃，喝；（谦语）领受，得到
合図	あいず	信号，暗号
悪	あく	恶，邪恶；坏人，反派
温かい	あたたかい	暖和的，温暖的
暖まる	あたたまる	变暖，暖和起来
当り	あたり	击中；成功，中彩
あちこち|彼方此方	あちこち	到处，各处
粗	あら	瑕疵，缺点
或	ある	某，某个
異	い	差异，不同意见
意	い	意志，心意
医院	いいん	诊所，医院
行き	いき	去，前往；（车等）开往
いけない	いけない	不可以，不行；不好
維持	いじ	维持，保持
いただきます|頂きます	いただきます	我开动了（用餐前）
傷める	いためる	损伤，损坏；使痛苦
抱く	いだく	抱，怀抱；怀有（想法、感情）
市	いち	市场，集市
市場	いちば	市场，集市
いつのまにか	いつのまにか	不知不觉间
従姉妹	いとこ	表姐妹，堂姐妹
移動	いどう	移动，转移
いらっしゃい	いらっしゃい	欢迎光临；（命令形）来，去，在
衣料	いりょう	衣料，衣服
医療	いりょう	医疗
祝い	いわい	祝贺；庆祝，喜庆事
魚	うお	鱼
うなる	うなる	呻吟，呜咽；轰鸣
産む	うむ	生，生产；产生
羨ましい	うらやましい	羡慕的，令人嫉妒的
得る	うる	能够，可以；获得
上	うわ	上面的，表面的（前缀）
運	うん	运气，命运
柄	え	柄，把手；（蘑菇等的）梗
衛星	えいせい	卫星
描く	えがく	画，描绘；描写
延期	えんき	延期，推迟
援助	えんじょ	援助，支援
演奏	えんそう	演奏
老い	おい	老，年老；老人
負う	おう	背负；承担（责任）
大家	おおや	房东
丘	おか	丘陵，小山
押える	おさえる	按住，压住；控制，抑制
治める	おさめる	治理，统治
教え	おしえ	教导，教诲
お互い	おたがい	彼此，互相
男の人	おとこのひと	男人
お前	おまえ	你（较随便或粗俗）
おめでとう|御目出度う	おめでとう	恭喜，祝贺
お目に掛かる	おめにかかる	（谦语）见面，拜见
思い付く	おもいつく	想到，想起，灵机一动
泳ぎ	およぎ	游泳
降ろす	おろす	卸下，放下；使下车
下す	おろす	使下降；作出（决定、判断）
可	か	可以，可行
課	か	（教材的）课；（机构的）科，处
蚊	か	蚊子
貝	かい	贝，贝壳
解釈	かいしゃく	解释，理解
改善	かいぜん	改善，改进
替える	かえる	更换，替换
反る	かえる	翘曲，翘起
格	かく	地位，格调；方式
核	かく	核，核心；（水果的）核
角	かく	角，角度；四方形
菓子	かし	点心，糕点，糖果
片付け	かたづけ	收拾，整理
課程	かてい	课程，学业进度
かなり|可也	かなり	相当，颇为
上	かみ	上游；上部，上方
かもしれない|かも知れない	かもしれない	也许，说不定
歌謡	かよう	歌谣，歌曲
殻	から	壳，皮壳
空	から	空的，空空如也
借り	かり	借，欠（的钱物）
狩り	かり	打猎，狩猎；（采蘑菇等）采摘
河	かわ	河，河流
可愛そう	かわいそう	可怜的，令人同情的
代る	かわる	代替，替代
管	かん	管，管子；乐器
慣行	かんこう	惯例，常规
完了	かんりょう	完成，完结
官僚	かんりょう	官僚，官员
カー	かー	汽车（前缀，如卡丁车）
学	がく	学问，学识
がん|癌	がん	癌，癌症
器官	きかん	器官
季刊	きかん	季刊
規制	きせい	规定，限制；管制
気体	きたい	气体
気付く	きづく	注意到，察觉到
気に入る	きにいる	喜欢，中意
記入	きにゅう	填写，登记
寄付	きふ	捐款，捐赠
球	きゅう	球，球体
旧	きゅう	旧，原来的（前缀）
級	きゅう	（年）级，班级
強調	きょうちょう	强调，着重
協力	きょうりょく	合作，协助
局	きょく	局，处，台（机构、广播电台等）
きり|切り	きり	界限，止境
金	きん	金，黄金；金牌
菌	きん	菌，细菌
近視	きんし	近视
句	く	句子，段落
苦	く	苦，苦难，辛劳
管	くだ	管，管子
区別	くべつ	区别，区分
組	くみ	班（学生）；组，伙
咥える	くわえる	（用嘴）叼，衔
訓	くん	训读；教诲，训示
グランド	ぐらんど	大型的，宏大的
群	ぐん	群，群体
軍	ぐん	军队，军
郡	ぐん	郡（行政区划）
軍隊	ぐんたい	军队
刑	けい	刑罚，刑法
経緯	けいい	经过，原委
計器	けいき	仪表，测量仪
血管	けっかん	血管
下	げ	下，下面（多用于书名、编号等）
劇	げき	戏剧，剧
減少	げんしょう	减少
恋	こい	恋爱，爱情
公演	こうえん	公演，演出
後悔	こうかい	后悔
航海	こうかい	航海，航行
交際	こうさい	交往，交际
高速	こうそく	高速；高速公路
幸福	こうふく	幸福
降伏	こうふく	投降，屈服
個々	ここ	各个，每一个
故人	こじん	死者，故人；老朋友
超す	こす	超过，越过；度过
混雑	こんざつ	拥挤，混乱
今日	こんにち	今天，如今
こんにちは|今日は	こんにちは	你好（白天问候语）
後	ご	以后，之后
ゴミ|塵	ごみ	垃圾
採集	さいしゅう	采集，收集
作	さく	作品；收成
柵	さく	栅栏，围栏
策	さく	计策，对策；方法
昨	さく	昨，去（年）（前缀）
射す	さす	照射，照耀
さす|注す	さす	倒（液体）；点，涂（口红等）
様々	さまざま	各种各样
酸化	さんか	氧化
参考	さんこう	参考
死	し	死，死亡
氏	し	先生，女士（敬称）
支払	しはらい	支付，付款
死亡	しぼう	死亡
しまった (かん)	しまった (かん)	糟糕，糟了
下	しも	下，下方
州	しゅう	州，省
衆	しゅう	众人，大众
集団	しゅうだん	集团，团体
宿泊	しゅくはく	住宿
出版	しゅっぱん	出版
章	しょう	章节；勋章
小	しょう	小，小的（前缀）
少女	しょうじょ	少女，女孩
消防	しょうぼう	消防
書斎	しょさい	书房
処理	しょり	处理
使用	しよう	使用
私用	しよう	私用，私事
尻	しり	屁股，臀部
知合い	しりあい	熟人，相识
ジェット機	じぇっとき	喷气式飞机
磁気	じき	磁，磁性
自己	じこ	自己，自我
自殺	じさつ	自杀
字体	じたい	字体
住	じゅう	居住
重視	じゅうし	重视
重体	じゅうたい	（伤病）病情严重
上	じょう	从…上说，就…而言（后缀）
情	じょう	感情，情感
上京	じょうきょう	进京，前往东京
女王	じょおう	女王
助詞	じょし	助词
女史	じょし	女士（对有社会地位女性的敬称）
人物	じんぶつ	人物，人品
水洗	すいせん	水洗，冲洗
数	すう	若干，数（前缀）
すくなくとも	すくなくとも	至少
すてき	すてき	极好的，绝妙的
角	すみ	角落
すみません (かん)	すみません (かん)	对不起，不好意思
清む	すむ	变清澈，变透明
刷る	する	印刷
擦る	する	摩擦，擦；划（火柴）
すれ違う	すれちがう	交错而过，擦肩而过
性	せい	性质；性别
正	せい	正的，正规的
せい|所為	せい	原因，缘故（多用于不好的结果）
生	せい	出生
請求	せいきゅう	请求，索取；索赔
生長	せいちょう	（植物）生长
生物	せいぶつ	生物
生理	せいり	生理；月经
選択	せんたく	选择
税	ぜい	税
全	ぜん	全，全体（前缀）
禅	ぜん	禅，禅宗
膳	ぜん	饭桌，餐台；（量词）碗，份
前進	ぜんしん	前进
僧	そう	僧人，和尚
添う	そう	满足，符合（期望等）
相	そう	相貌，样子；阶段
具える	そなえる	具备，配备
それと	それと	还有；以此
存在	そんざい	存在
像	ぞう	像，塑像；图像
田	た	水田
他	た	其他，别的（人或事）
対	たい	对，对比；相对
隊	たい	队，队伍
大した	たいした	了不起的，重大的
大戦	たいせん	大战，世界大战
大半	たいはん	大半，多半
タイプライター	たいぷらいたー	打字机
逮捕	たいほ	逮捕
宝	たから	宝物，财宝
互い	たがい	彼此，相互
宅	たく	家，住宅
焚く	たく	烧，点（火）
たしか	たしか	确实，的确；如果我没记错的话
戦い	たたかい	战斗，战争
唯	ただ	仅仅，只
唯	たった	仅仅，只
例え	たとえ	例子；比喻
玉	たま	球，圆珠
球	たま	球，球体
偶	たま	偶尔；偶数
試し	ためし	尝试，试验
題	だい	标题，题目
大	だい	大（前缀）
題名	だいめい	标题，题名
だが	だが	但是，可是
だけど	だけど	但是，可是
段	だん	台阶；（量词）段
茶	ちゃ	茶，茶树
注	ちゅう	注释，注解
中	ちゅう	中等；正在…中
挑戦	ちょうせん	挑战
ちょうだい	ちょうだい	给我（较随便说法，多为女性、儿童用）
対	つい	对，双，一对
通貨	つうか	货币
通過	つうか	通过，经过
付合う	つきあう	交往，来往；奉陪
次ぐ	つぐ	紧接着，次于
つぐ|注ぐ	つぐ	倒，斟（茶水等）
接ぐ	つぐ	连接，拼接；接骨；嫁接
務め	つとめ	职责，任务
釣	つり	钓鱼
手伝い	てつだい	帮手；帮忙
転校	てんこう	转学
出	で	出，出去；产地，出身
出合い	であい	相遇，邂逅
伝言	でんごん	口信，留言
と	と	和；如果，一…就…
党	とう	党，政党
塔	とう	塔
棟	とう	（量词）栋，幢；栋，屋脊
年月	としつき	岁月，年月
図書	としょ	图书
年寄	としより	老年人
泊める	とめる	留宿，收留
供	とも	随从，随行
銅貨	どうか	铜币
動詞	どうし	动词
同士	どうし	伙伴，同伙；彼此
同志	どうし	志同道合；同志
どうぞよろしく	どうぞよろしく	请多关照
独立	どくりつ	独立
中身	なかみ	内容，内装物
中味	なかみ	内容，内装物
流れ	ながれ	流，水流；流向，趋势
なぜなら|何故なら	なぜなら	因为，原因是
なにも	なにも	什么也（不）
生る	なる	结果（果实）
為る	なる	成为，变成
難	なん	困难，灾难
日	にち	星期日；日（量词，日期）
日本	にっぽん	日本
音	ね	声音，音色
値	ね	价格，价钱
野	の	原野，田野；未经加工的
望み	のぞみ	愿望，希望
はあ (かん)	はあ (かん)	（叹气声，或应答声）是，哎
計る	はかる	测量，衡量
発車	はっしゃ	发车，开车
発達	はったつ	发达，发展
放れる	はなれる	脱离，挣脱
羽根	はね	羽毛
幅	はば	宽度，幅度
判	はん	印章；判断
版	はん	版，版本；印次
班	はん	组，班
反省	はんせい	反省
販売	はんばい	销售，贩卖
梅雨	ばいう	梅雨季节
碑	ひ	碑，石碑
膝	ひざ	膝盖
額	ひたい	额头
引越し	ひっこし	搬家
票	ひょう	票，选票
表	ひょう	表，表格
評価	ひょうか	评价，评估
表面	ひょうめん	表面
品	ひん	品位，格调
美人	びじん	美人，美女
秒	びょう	秒
不	ふ	不，非（前缀）
福	ふく	福气，幸福
節	ふし	（竹、骨）节；曲调，旋律
夫人	ふじん	夫人，太太
縁	ふち	边缘，边沿
不通	ふつう	（交通、通讯）中断
殖やす	ふやす	增加，繁殖
不	ぶ	不，非（前缀）
無	ぶ	无，零
分	ぶ	部分；成数
ぶつ|打つ	ぶつ	打，揍；发表（演说）
部分	ぶぶん	部分
分	ぶん	份，部分，分量
経る	へる	经过，经历
変更	へんこう	变更，改变
ベンチ	べんち	长椅，长凳
ペンキ	ぺんき	油漆
包装	ほうそう	包装
方々	ほうぼう	各处，到处
他	ほか	别处，其他地方
保存	ほぞん	保存
堀	ほり	护城河；沟渠
濠	ほり	护城河
本当	ほんと	真的，真实
間	ま	（时间、空间）间隔；房间
まあ	まあ	（劝阻、缓和语气）姑且，先；还算，凑合
まく|撒く	まく	撒，散布；分发
膜	まく	膜
交ざる	まざる	混合，夹杂
混じる	まじる	混合，混杂
交じる	まじる	混合，混杂
交ぜる	まぜる	混合，搀入
股	また	胯，裆
松	まつ	松树；（等级）上等
末	まつ	末，末尾；粉末
祭	まつり	节日，庆典
まぶしい	まぶしい	耀眼，刺眼
丸	まる	圆圈；完全，整个
円	まる	圆，圆圈
都	みやこ	首都，京城；（某领域）中心
無	む	无，没有
向かい	むかい	对面
胸	むね	胸，胸部
名詞	めいし	名词
命令	めいれい	命令
滅多に	めったに	（后接否定）很少，不常
綿	めん	棉，棉花
もったいない|勿体ない	もったいない	可惜的，浪费的
元	もと	起源，本源；原来
基	もと	基础，根据
素	もと	原料，本源
文字	もんじ	文字，字母
約	やく	大约，大概；约定
訳	やく	翻译
厄介	やっかい	麻烦，棘手
優	ゆう	优秀，优等
有機	ゆうき	有机（的）
床	ゆか	地板
行き	ゆき	去，往
世	よ	世上，社会；时代
夜	よ	夜晚
曜日	ようび	星期几
予防	よぼう	预防
読み	よみ	读法，读音；预测，判断
因る	よる	由于，因为
よろしく (かん)	よろしく (かん)	请多关照，问好
率	りつ	率，比率
例外	れいがい	例外
別れ	わかれ	离别，分别
話題	わだい	话题
椀	わん	碗
湾	わん	海湾
来	来	下（一个，用于时间）
〜 (まる) ごと	〜 (まる) ごと	整个，全部
〜(日本) 式	〜(日本) 式	（日本）式，…式
あいまい	あいまい	暧昧，含糊
飽くまで	あくまで	彻底，到底；坚持
あぶる	あぶる	烤，烘
あみもの	あみもの	编织物，针织品
あらわす	あらわす	写，著（书）；发表
一斉	いっせい	一齐，同时
行っていらっしゃい	いっていらっしゃい	慢走，路上小心（送人出门用语）
いってきます	いってきます	我出门了
いってまいります	いってまいります	我出门了（较郑重）
いってらっしゃい|行ってらっしゃい	いってらっしゃい	慢走，路上小心
炒る	いる	炒，煎
煎る	いる	炒，煎
インキ	いんき	墨水
ウエートレス	うえーとれす	女服务员
いたって	いたって	非常，极其
いたわる|労る	いたわる	体贴，怜恤；慰劳，照顾
一部分	いちぶぶん	一部分
一別	いちべつ	一别，分别
一目	いちもく	一眼，一瞥
一気	いっき	一口气；干杯（劝酒用语）
嫌々	いやいや	勉勉强强，不情愿地
異論	いろん	异议，不同意见
受け入れ	うけいれ	接受，接纳；接收
受身	うけみ	被动，消极；（语法）被动态
受持ち	うけもち	负责，担任（的事务）
埋める	うずめる	埋，掩埋；填满
うたた寝	うたたね	打盹，小睡
訴え	うったえ	诉讼；申诉，控诉
空ろ	うつろ	空的，空洞的；茫然的
うぬぼれ	うぬぼれ	自负，自满
梅干し	うめぼし	腌梅干
売り出し	うりだし	（大）甩卖，促销
運輸	うんゆ	运输
演ずる	えんずる	扮演（角色）；表演；干出（某事）
於いて	おいて	在，于
応募	おうぼ	应征，报名参加；应募
おおい (かん)	おおい (かん)	喂（呼唤声）
おおげさ	おおげさ	夸张的，言过其实的
おおまかな	おおまかな	大致的，粗略的
治まる	おさまる	平息，平定；安定下来
納まる	おさまる	纳入，装入；平息，安顿
お産	おさん	生育，分娩
御世辞	おせじ	奉承话，恭维话
おだてる	おだてる	奉承，捧，怂恿
落葉	おちば	落叶
お供	おとも	陪同，随从
脅かす	おびやかす	威胁，恐吓
おふくろ|お袋	おふくろ	（自己的）妈妈，老娘
お宮	おみや	神社
脅かす	おびやかす	威胁，恐吓
おむつ|お襁褓	おむつ	尿布
重んずる	おもんずる	重视，尊重
及び	および	以及，和
檻	おり	笼子；牢房
俺	おれ	我（男性自称，较粗俗）
開催	かいさい	举办，召开（会议、展览等）
街道	かいどう	大道，干道；（成功等的）道路
介抱	かいほう	看护，照料
顔付き	かおつき	面容，表情
かく (はじを)	かく (はじを)	丢脸，出丑
各種	かくしゅ	各种，各类
隔週	かくしゅう	隔周，每隔一周
確信	かくしん	确信，坚信
獲得	かくとく	获得，取得
革命	かくめい	革命
賭	かけ	赌博，打赌
化合	かごう	化合
かさばる	かさばる	体积大，占地方
かさむ	かさむ	（数量、费用等）增多，增大
頭	かしら	头；头目，首领
箇条書	かじょうがき	分条列举，条列式
擦る	かする	擦，蹭
化繊	かせん	化纤，合成纤维
家畜	かちく	家畜
叶える	かなえる	使实现，满足（愿望等）
花粉	かふん	花粉
かぶれる	かぶれる	（皮肤）过敏；沾染（不良风气）
貨幣	かへい	货币，钱币
過密	かみつ	过密，拥挤；（日程）排得过满
粥	かゆ	粥
かりに	かりに	假如，姑且，暂且
交す	かわす	交换（言语、目光等）
代る代る	かわるがわる	轮流，交替
簡易	かんい	简易，简单
灌漑	かんがい	灌溉
慣習	かんしゅう	习惯，惯例
観衆	かんしゅう	观众
肝腎	かんじん	最重要的，关键的
幹線	かんせん	干线
関税	かんぜい	关税
簡素	かんそ	简朴，简单
観点	かんてん	观点，视角
完ぺき	かんぺき	完美，完善
観覧	かんらん	观览，观看
外相	がいしょう	外交大臣，外相
街頭	がいとう	街头
学芸	がくげい	学艺，学术与技艺
学士	がくし	学士，大学毕业生
楽譜	がくふ	乐谱
合併	がっぺい	合并
ガレージ	がれーじ	车库
眼科	がんか	眼科
眼球	がんきゅう	眼球
岩石	がんせき	岩石
元年	がんねん	元年
基金	ききん	基金
既婚	きこん	已婚
兆	きざし	征兆，预兆
きしむ	きしむ	嘎吱作响
汽船	きせん	汽船，轮船
来る	きたる	即将到来的，下（星期、月等）
気立て	きだて	性情，脾气（多指好的）
起点	きてん	起点
規範	きはん	规范，准则
気風	きふう	风气，气质
期末	きまつ	期末
きまりわるい	きまりわるい	不好意思，难为情
客観	きゃっかん	客观
規約	きやく	章程，规约
休学	きゅうがく	休学
球根	きゅうこん	球根，球茎
休戦	きゅうせん	休战，停战
旧知	きゅうち	老相识，旧交
宮殿	きゅうでん	宫殿
強	きょう	强（接在数词后表示略多于）
教科	きょうか	学科，课程
共学	きょうがく	男女同校
凶作	きょうさく	歉收，欠收
教習	きょうしゅう	训练，教习
教職	きょうしょく	教职
共存	きょうぞん	共存
共和	きょうわ	共和
局限	きょくげん	局限
居住	きょじゅう	居住
許容	きょよう	容许，允许
切替	きりかえ	更换，转换
気流	きりゅう	气流
近郊	きんこう	近郊，郊区
勤労	きんろう	劳动，工作
議事堂	ぎじどう	议事堂，国会大厦
議題	ぎだい	议题
技能	ぎのう	技能
業者	ぎょうしゃ	业者，同业者，商家
漁船	ぎょせん	渔船
漁村	ぎょそん	渔村
空間	くうかん	空间
茎	くき	茎，梗
くぐる|潜る	くぐる	钻过，穿过
くじびき	くじびき	抽签，抽奖
口吟む	くちずさむ	吟诵，哼唱
蔵	くら	仓库，库房
クレーン	くれーん	起重机，吊车
君主	くんしゅ	君主
軍艦	ぐんかん	军舰
軍服	ぐんぷく	军服
軽減	けいげん	减轻
掲載	けいさい	刊登，登载
けがらわしい	けがらわしい	肮脏的，卑鄙的
獣	けだもの	野兽，畜生
結核	けっかく	结核（病）
決	けつ	决定，表决
結合	けつごう	结合
獣	けもの	野兽
家来	けらい	家臣，仆从
懸賞	けんしょう	悬赏，有奖征集
兼用	けんよう	兼用，两用
芸	げい	技艺，才艺
月謝	げっしゃ	（每月的）学费
原子	げんし	原子
元首	げんしゅ	元首
原書	げんしょ	原著，原版书
元素	げんそ	元素
現像	げんぞう	（照片）显影，冲洗
原典	げんてん	原典，原著
厳密	げんみつ	严密，严格
言論	げんろん	言论
恋する	こいする	恋爱，爱慕
工学	こうがく	工学，工程学
皇居	こうきょ	皇宫（日本天皇居所）
鉱業	こうぎょう	矿业
高原	こうげん	高原
煌々と	こうこうと	（灯光）明亮地，辉煌地
考古学	こうこがく	考古学
交互	こうご	交替，交互
鉱山	こうざん	矿山
高尚	こうしょう	高尚，高雅
行進	こうしん	行进，游行
香辛料	こうしんりょう	香料，调味料
降水	こうすい	降水
公然	こうぜん	公然，公开
抗争	こうそう	抗争，争斗
後退	こうたい	后退，倒退
光沢	こうたく	光泽
公団	こうだん	公团（日本的公共法人）
口頭	こうとう	口头（的）
購読	こうどく	订阅
講読	こうどく	讲读，研读
購買	こうばい	购买
公募	こうぼ	公开征募，公开招募
公用	こうよう	公务；公用
公立	こうりつ	公立
国防	こくぼう	国防
志	こころざし	志向，心意
孤児	こじ	孤儿
こじれる	こじれる	（事情）变复杂，恶化
骨董品	こっとうひん	古董
こつ (をつかむ)	こつ (をつかむ)	诀窍，窍门
言付け	ことづけ	捎话，口信
孤独	こどく	孤独
孤立	こりつ	孤立
コンタクト (レンズ)	こんたくと (れんず)	隐形眼镜
昆虫	こんちゅう	昆虫
合議	ごうぎ	商议，共同商议
合成	ごうせい	合成
護衛	ごえい	护卫，护送
誤差	ごさ	误差，偏差
ございます (かん)	ございます (かん)	是（"ある"的礼貌说法）
ごらんなさい (かん)	ごらんなさい (かん)	请看；试着做做看
さえずる	さえずる	（鸟）鸣叫，啁啾
逆立ち	さかだち	倒立；颠倒
さきに (いぜん)	さきに (いぜん)	以前，先前
作戦	さくせん	作战，战术
摩する	さする	抚摸，摩挲
さぞ (さぞや。さぞかし)	さぞ (さぞや。さぞかし)	想必，一定
さっぱりする	さっぱりする	清爽，舒畅
最中	さなか	正当中，最盛时
様	さま	先生，女士（敬称）；……的样子
酸	さん	酸
産休	さんきゅう	产假
サンキュー	さんきゅー	谢谢
産後	さんご	产后
サンタクロース	さんたくろーす	圣诞老人
産婦人科	さんふじんか	妇产科
産物	さんぶつ	产物，产品；成果
財	ざい	财产，财富
財源	ざいげん	财源，资金来源
仕上	しあげ	完成，做完；最后加工
飼育	しいく	饲养
仕入れる	しいれる	采购，进货
潮	しお	潮，潮水；时机
歯科	しか	牙科
仕掛	しかけ	装置，机关；着手，未完成
しかしながら	しかしながら	然而，可是
仕組	しくみ	结构，机制
死刑	しけい	死刑
思考	しこう	思考
支持	しじ	支持，拥护
雫	しずく	水滴，水珠
子息	しそく	（别人的）儿子
躾ける	しつける	教养，管教
萎びる	しなびる	枯萎，干瘪
屎尿	しにょう	粪尿
斜面	しゃめん	斜面，坡面
主	しゅ	主人；雇主；领导者
種	しゅ	种子；种类
